"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-01","2.68"," 2323","0.05",,"42","38","  330","  330","8.9","15.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-02","8.95"," 0703","0.00",,"44","30","  320","  290","15.0","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-03","4.92"," 1147","0.00",,"46","30","  280","  250","13.0","18.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-04","9.62"," 1113","0.00",,"45","30","  300","  310","19.9","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-05","4.92"," 0003","0.00",,"40","25","  320","  330","15.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-06","5.59"," 1937","0.97",,"36","24","   50","   60","15.0","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-07","6.93"," 1242","0.02",,"43","35","  290","  310","17.0","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-08","6.93"," 0320","0.00",,"46","30","  330","  300","15.0","23.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-09","10.96"," 1740","1.75",,"59","32","  120","  120","29.1","42.9","    1",,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-10","13.20"," 1032","0.00",,"59","42","  260","  250","25.9","40.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-11","6.71"," 2104","0.00",,"51","35","  290","  310","15.0","25.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-12","8.50"," 1735","0.79",,"49","28","  120","  130","25.9","36.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-13","11.63"," 1546","0.19",,"49","33","  260","  250","33.1","47.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-14","11.86"," 1220","0.00",,"39","23","  270","  260","32.0","53.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-15","3.13"," 0852","0.05",,"28","23","  300","  250","8.9","13.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-16","9.62"," 1419","0.17",,"28","18","  290","  300","21.9","36.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-17","8.28"," 1300","0.00",,"26","11","  250","  250","19.9","29.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-18","1.79"," 1552","0.00",,"33","12","  240","  240","8.9","12.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-19","4.70"," 2300","0.14",,"30","25","  330","  350","13.0","18.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-20","13.65"," 1015","0.00",,"26","18","  290","  290","25.9","35.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-21","12.97"," 1121","0.00",,"34","23","  300","  300","21.9","36.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-22","3.13"," 0123","0.00",,"36","17","  250","  250","10.1","14.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-23","2.46"," 1633","0.00",,"44","29","  100","  100","8.9","12.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-24","4.47"," 1013","0.11",,"43","38","  130","  110","8.9","12.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-25","1.12"," 2345","0.20",,"50","40","  110","  110","6.9","8.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-26","4.25"," 0149","0.07",,"54","43","  110","  110","13.0","16.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-27","4.92"," 0427","0.03",,"54","41","  300","  300","12.1","17.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-28","7.61"," 0525","0.95",,"46","41","   90","  100","15.0","19.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-29","10.74"," 1430","0.00",,"44","40","  310","  320","21.0","31.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-30","7.83"," 1820","0.00",,"40","37","  140","  110","16.1","19.9",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-01-31","2.01"," 0924","0.00",,"44","32","  110","  120","8.1","10.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-01","3.80"," 1336","0.00",,"52","33","  250","  240","15.0","21.0",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-02","8.05"," 1318","0.10",,"48","40","  350","  340","17.0","27.1",,,,
"USW00014751","HARRISBURG CAPITAL CITY AIRPORT, PA US","2024-02-03","5.59"," 0233","0.00",,"49","31","  290","  360","13.0","19.0",,,,
