Date,Temp_High,Precip_Type
2024-01-01,42,Rain
2024-01-02,44,None
2024-01-03,46,None
2024-01-04,45,None
2024-01-05,40,None
2024-01-06,36,Mixed
2024-01-07,43,Rain
2024-01-08,46,None
2024-01-09,59,Rain
2024-01-10,59,None
2024-01-11,51,None
2024-01-12,49,Rain
2024-01-13,49,Rain
2024-01-14,39,None
2024-01-15,28,Snow
2024-01-16,28,Snow
2024-01-17,26,None
2024-01-18,33,None
2024-01-19,30,Snow
2024-01-20,26,None
2024-01-21,34,None
2024-01-22,36,None
2024-01-23,44,None
2024-01-24,43,Rain
2024-01-25,50,Rain
2024-01-26,54,Rain
2024-01-27,54,Rain
2024-01-28,46,Rain
2024-01-29,44,None
2024-01-30,40,None
2024-01-31,44,None
2024-02-01,52,None
2024-02-02,48,Rain
2024-02-03,49,None
2024-02-04,52,None
2024-02-05,45,None
2024-02-06,45,None
2024-02-07,51,None
2024-02-08,56,None
2024-02-09,58,None
2024-02-10,60,None
2024-02-11,52,None
2024-02-12,51,Rain
2024-02-13,45,Rain
2024-02-14,40,None
2024-02-15,44,Rain
2024-02-16,46,Rain
2024-02-17,36,Mixed
2024-02-18,46,None
2024-02-19,46,None
2024-02-20,45,None
2024-02-21,46,None
2024-02-22,43,Rain
2024-02-23,49,None
2024-02-24,43,Rain
2024-02-25,47,None
2024-02-26,62,None
2024-02-27,64,Rain
2024-02-28,63,Rain
2024-02-29,43,None
2024-03-01,51,None
2024-03-02,50,Rain
2024-03-03,66,None
2024-03-04,69,None
2024-03-05,54,Rain
2024-03-06,55,Rain
2024-03-07,63,Rain
2024-03-08,57,None
2024-03-09,46,Rain
2024-03-10,48,Rain
2024-03-11,54,None
2024-03-12,72,None
2024-03-13,75,None
2024-03-14,79,Rain
2024-03-15,71,Rain
2024-03-16,64,None
2024-03-17,62,None
2024-03-18,48,None
2024-03-19,47,None
2024-03-20,60,None
2024-03-21,46,None
2024-03-22,48,Rain
2024-03-23,46,Rain
2024-03-24,49,None
2024-03-25,56,None
2024-03-26,58,None
2024-03-27,50,Rain
2024-03-28,55,None
2024-03-29,59,None
2024-03-30,59,Rain
2024-03-31,61,None
2024-04-01,54,Rain
2024-04-02,51,Rain
2024-04-03,48,Rain
2024-04-04,54,Rain
2024-04-05,47,None
2024-04-06,55,None
2024-04-07,65,None
2024-04-08,69,None
2024-04-09,80,None
2024-04-10,74,None
2024-04-11,74,Rain
2024-04-12,68,Rain
2024-04-13,62,Rain
2024-04-14,82,Rain
2024-04-15,82,Rain
2024-04-16,76,None
2024-04-17,70,Rain
2024-04-18,64,None
2024-04-19,55,Rain
2024-04-20,70,None
2024-04-21,53,None
2024-04-22,65,None
2024-04-23,72,None
2024-04-24,69,Rain
2024-04-25,61,None
2024-04-26,66,None
2024-04-27,55,Rain
2024-04-28,84,None
2024-04-29,91,None
2024-04-30,89,Rain
2024-05-01,84,None
2024-05-02,92,None
2024-05-03,76,None
2024-05-04,56,Rain
2024-05-05,59,Rain
2024-05-06,74,None
2024-05-07,80,Rain
2024-05-08,87,Rain
2024-05-09,70,Rain
2024-05-10,59,Rain
2024-05-11,65,Rain
2024-05-12,63,Rain
2024-05-13,78,None
2024-05-14,69,Rain
2024-05-15,69,Rain
2024-05-16,79,None
2024-05-17,69,None
2024-05-18,67,Rain
2024-05-19,81,None
2024-05-20,85,None
2024-05-21,89,None
2024-05-22,90,None
2024-05-23,86,Rain
2024-05-24,90,None
2024-05-25,89,Rain
2024-05-26,88,Rain
2024-05-27,83,Rain
2024-05-28,83,None
2024-05-29,77,Rain
2024-05-30,76,None
2024-05-31,80,None
2024-06-01,86,None
2024-06-02,82,None
2024-06-03,93,None
2024-06-04,90,None
2024-06-05,82,Rain
2024-06-06,89,Rain
2024-06-07,83,None
2024-06-08,83,None
2024-06-09,81,None
2024-06-10,78,None
2024-06-11,73,None
2024-06-12,82,None
2024-06-13,90,None
2024-06-14,89,None
2024-06-15,84,None
2024-06-16,85,None
2024-06-17,93,None
2024-06-18,95,None
2024-06-19,94,None
2024-06-20,93,None
2024-06-21,97,None
2024-06-22,99,Rain
2024-06-23,94,Rain
2024-06-24,87,None
2024-06-25,89,None
2024-06-26,94,Rain
2024-06-27,88,None
2024-06-28,84,None
2024-06-29,91,Rain
2024-06-30,95,None
2024-07-01,80,None
2024-07-02,85,None
2024-07-03,87,None
2024-07-04,93,None
2024-07-05,94,None
2024-07-06,95,None
2024-07-07,94,None
2024-07-08,96,None
2024-07-09,98,None
2024-07-10,97,Rain
2024-07-11,85,None
2024-07-12,81,None
2024-07-13,95,None
2024-07-14,97,None
