Date,Temp_High,Precip_Type
2025-01-01,54,Rain
2025-01-02,45,None
2025-01-03,38,None
2025-01-04,32,Flurries
2025-01-05,30,None
2025-01-06,31,Snow
2025-01-07,29,Snow
2025-01-08,33,None
2025-01-09,29,None
2025-01-10,31,None
2025-01-11,32,Snow
2025-01-12,33,None
2025-01-13,40,None
2025-01-14,42,None
2025-01-15,30,None
2025-01-16,31,None
2025-01-17,32,Flurries
2025-01-18,42,None
2025-01-19,39,None
2025-01-20,36,Heavy Snow
2025-01-21,21,None
2025-01-22,15,None
2025-01-23,17,None
2025-01-24,29,None
2025-01-25,31,None
2025-01-26,34,None
2025-01-27,42,None
2025-01-28,43,None
2025-01-29,40,None
2025-01-30,49,None
2025-01-31,43,Rain
2025-02-01,45,Rain
2025-02-02,39,None
2025-02-03,31,Flurries
2025-02-04,42,None
2025-02-05,46,None
2025-02-06,36,Flurries
2025-02-07,41,Rain
2025-02-08,42,None
2025-02-09,36,Snow
2025-02-10,39,None
2025-02-11,40,None
2025-02-12,32,Snow
2025-02-13,33,Mixed
2025-02-14,48,None
2025-02-15,36,None
2025-02-16,33,Snow
2025-02-17,41,Rain
2025-02-18,34,None
2025-02-19,27,None
2025-02-20,28,None
2025-02-21,25,None
2025-02-22,34,None
2025-02-23,43,None
2025-02-24,48,None
2025-02-25,55,None
2025-02-26,59,None
2025-02-27,57,Rain
2025-02-28,60,Rain
2025-03-01,52,None
2025-03-02,57,None
2025-03-03,35,None
2025-03-04,42,None
2025-03-05,63,None
2025-03-06,58,Rain
2025-03-07,44,None
2025-03-08,52,None
2025-03-09,47,None
2025-03-10,56,None
2025-03-11,69,None
2025-03-12,74,None
2025-03-13,61,None
2025-03-14,58,None
2025-03-15,55,None
2025-03-16,54,None
2025-03-17,70,Rain
2025-03-18,51,None
2025-03-19,65,None
2025-03-20,73,None
2025-03-21,71,Rain
2025-03-22,55,Rain
2025-03-23,60,None
2025-03-24,49,Rain
2025-03-25,64,None
2025-03-26,60,None
2025-03-27,46,None
2025-03-28,58,None
2025-03-29,61,Rain
2025-03-30,83,None
2025-03-31,68,None
2025-04-01,77,Rain
2025-04-02,56,None
2025-04-03,52,Rain
2025-04-04,76,Rain
2025-04-05,66,None
2025-04-06,58,Rain
2025-04-07,54,Rain
2025-04-08,42,Rain
2025-04-09,44,None
2025-04-10,53,None
2025-04-11,48,Rain
2025-04-12,45,Rain
2025-04-13,50,Rain
2025-04-14,62,Rain
2025-04-15,73,None
2025-04-16,66,Rain
2025-04-17,55,None
2025-04-18,66,None
2025-04-19,78,None
2025-04-20,83,None
2025-04-21,71,None
2025-04-22,70,None
2025-04-23,75,None
2025-04-24,78,None
2025-04-25,83,None
2025-04-26,77,Rain
2025-04-27,78,None
2025-04-28,72,None
2025-04-29,76,None
2025-04-30,84,Rain
2025-05-01,79,None
2025-05-02,81,Rain
2025-05-03,86,Rain
2025-05-04,81,Rain
2025-05-05,73,Rain
2025-05-06,70,Rain
2025-05-07,71,Rain
2025-05-08,77,None
2025-05-09,81,Rain
2025-05-10,54,Rain
2025-05-11,78,None
2025-05-12,79,None
2025-05-13,84,Rain
2025-05-14,66,Rain
2025-05-15,63,Rain
2025-05-16,81,None
2025-05-17,83,Rain
2025-05-18,84,Rain
2025-05-19,76,None
2025-05-20,70,None
2025-05-21,68,None
2025-05-22,55,Rain
2025-05-23,56,Rain
2025-05-24,66,Rain
2025-05-25,67,Rain
2025-05-26,71,None
2025-05-27,75,None
2025-05-28,73,Rain
2025-05-29,56,Rain
2025-05-30,72,None
2025-05-31,76,Rain
2025-06-01,69,Rain
2025-06-02,68,None
2025-06-03,74,None
2025-06-04,80,None
2025-06-05,88,None
2025-06-06,87,None
2025-06-07,78,Rain
2025-06-08,80,Rain
2025-06-09,73,Rain
2025-06-10,80,Rain
2025-06-11,81,Rain
2025-06-12,82,None
2025-06-13,88,None
2025-06-14,81,Rain
2025-06-15,66,Rain
2025-06-16,63,Rain
2025-06-17,65,Rain
2025-06-18,70,Rain
2025-06-19,85,Rain
2025-06-20,88,None
2025-06-21,84,None
2025-06-22,89,None
2025-06-23,94,None
2025-06-24,97,None
2025-06-25,97,None
2025-06-26,95,None
2025-06-27,94,Rain
2025-06-28,66,Rain
2025-06-29,85,None
2025-06-30,92,None
2025-07-01,89,Rain
2025-07-02,88,Rain
2025-07-03,89,None
2025-07-04,87,None
2025-07-05,83,None
2025-07-06,87,None
2025-07-07,88,None
2025-07-08,90,None
2025-07-09,91,Rain
2025-07-10,88,None
2025-07-11,86,None
2025-07-12,89,None
2025-07-13,87,None
2025-07-14,86,Rain
2025-07-15,84,Rain
2025-07-16,86,None
2025-07-17,87,Rain
2025-07-18,92,None
2025-07-19,82,Rain
2025-07-20,81,Rain
2025-07-21,87,None
2025-07-22,83,None
2025-07-23,82,None
2025-07-24,85,None
2025-07-25,89,None
2025-07-26,93,Rain
2025-07-27,87,Rain
2025-07-28,89,Rain
2025-07-29,92,None
2025-07-30,95,None
2025-07-31,94,None
2025-08-01,87,Rain
2025-08-02,77,None
2025-08-03,78,None
2025-08-04,82,None
2025-08-05,86,None
2025-08-06,87,None
2025-08-07,80,Rain
2025-08-08,81,None
2025-08-09,80,None
2025-08-10,83,None
2025-08-11,86,None
2025-08-12,87,None
2025-08-13,92,None
2025-08-14,91,Rain
2025-08-15,89,None
2025-08-16,91,Rain
2025-08-17,88,None
2025-08-18,93,Rain
2025-08-19,73,None
2025-08-20,78,Rain
2025-08-21,69,Rain
2025-08-22,72,None
2025-08-23,82,None
2025-08-24,83,Rain
2025-08-25,80,Rain
2025-08-26,81,None
2025-08-27,76,None
2025-08-28,75,None
2025-08-29,78,None
2025-08-30,76,None
2025-08-31,74,None
2025-09-01,79,None
2025-09-02,80,None
2025-09-03,81,None
2025-09-04,82,None
2025-09-05,83,Rain
2025-09-06,85,None
2025-09-07,81,Rain
2025-09-08,73,None
2025-09-09,72,None
2025-09-10,75,None
2025-09-11,80,None
2025-09-12,80,None
2025-09-13,81,None
2025-09-14,84,None
2025-09-15,85,None
2025-09-16,84,None
2025-09-17,77,Rain
2025-09-18,75,None
2025-09-19,87,None
2025-09-20,89,None
2025-09-21,80,None
2025-09-22,70,None
2025-09-23,77,Rain
2025-09-24,83,None
2025-09-25,73,Rain
2025-09-26,78,Rain
2025-09-27,80,None
2025-09-28,76,Rain
2025-09-29,84,None
2025-09-30,78,None
2025-10-01,80,None
2025-10-02,75,None
2025-10-03,72,None
2025-10-04,75,None
2025-10-05,82,None
2025-10-06,84,None
2025-10-07,83,None
2025-10-08,79,Rain
2025-10-09,70,Rain
2025-10-10,63,None
2025-10-11,65,None
2025-10-12,66,Rain
2025-10-13,70,Rain
2025-10-14,60,Rain
2025-10-15,65,None
2025-10-16,67,None
2025-10-17,62,None
2025-10-18,65,None
2025-10-19,74,None
2025-10-20,75,Rain
2025-10-21,63,None
2025-10-22,71,Rain
2025-10-23,59,None
2025-10-24,57,None
2025-10-25,56,None
2025-10-26,59,None
2025-10-27,62,None
2025-10-28,60,None
2025-10-29,58,None
2025-10-30,59,Rain
2025-10-31,64,Rain
2025-11-01,57,Rain
2025-11-02,60,None
2025-11-03,63,None
2025-11-04,62,None
2025-11-05,63,None
2025-11-06,68,Rain
2025-11-07,55,None
2025-11-08,59,Rain
2025-11-09,65,None
2025-11-10,57,Rain
2025-11-11,44,None
2025-11-12,41,None
2025-11-13,53,None
2025-11-14,52,Rain
2025-11-15,52,None
2025-11-16,62,Rain
2025-11-17,54,None
2025-11-18,45,None
2025-11-19,44,Rain
2025-11-20,43,Rain
2025-11-21,44,Rain
2025-11-22,47,Rain
2025-11-23,52,Rain
2025-11-24,53,None
2025-11-25,55,None
2025-11-26,52,Rain
2025-11-27,56,Rain
2025-11-28,40,None
2025-11-29,39,None
2025-11-30,40,None
2025-12-01,43,None
2025-12-02,33,Snow
2025-12-03,42,None
2025-12-04,40,None
2025-12-05,33,Snow
2025-12-06,36,None
2025-12-07,38,None
2025-12-08,35,None
2025-12-09,34,None
2025-12-10,36,Mixed
2025-12-11,41,None
2025-12-12,39,None
2025-12-13,32,Snow
2025-12-14,33,Snow
2025-12-15,33,Snow
2025-12-16,39,None
2025-12-17,44,None
2025-12-18,48,Rain
2025-12-19,41,Rain
2025-12-20,38,None
2025-12-21,42,None
2025-12-22,43,None
2025-12-23,40,Mixed
2025-12-24,42,None
2025-12-25,43,None
2025-12-26,44,Mixed
2025-12-27,49,None
2025-12-28,42,Rain
2025-12-29,41,Rain
2025-12-30,35,None
2025-12-31,34,None
